	Employer	JobID	KeywordCount	KeywordList	Location	Relocate	RemoteWork	Title	TitleDetails	TitleFeatures	dataScienceJob
96	Context_Relevant	86328	4	['distributed computing', 'c++', 'performance', 'python']	Seattle, WA	yes	no	Staff Engineer		['engineer']	yes
97	Universal_Electronics	85741	5	['oltp', 'sql', 'python', 'database design', 'c#']	San Mateo, CA	no	no	Principal Architect	Data Infrastructure	['architect', 'data', 'infrastructure', 'principal']	yes
98	Diamond_B_Technology_Solutions	87858	5	['c#', 'asp.net web api', 'angularjs', 'entity framework', 'azure']	Fargo, ND	yes	no	Senior Software Engineer		['engineer', 'senior', 'software']	yes
99	Amazon	88099	3	['java', 'c++', 'c']	Seattle, WA	yes	no	Software Development Manager		['development', 'manager', 'software']	yes
100	iRobot_Corporation	75822	5	['ios', 'objective c', 'mobile', 'agile', 'cocoa']	Bedford, MA	yes	no	Principal/Lead Software Engineer	iOS Applications	['engineer', 'ios', 'lead', 'principal', 'software']	yes
101	Ascensus	88205	3	['c#', 'tsql', 'wcf']	Dresher, PA	no	no	C# SW Developer	ALL LEVELS	['development', 'software']	yes
102	Universal_Electronics	85461	5	['scrummaster', 'sql server', 'embedded linux', 'web services', 'android']	San Mateo, CA	yes	no	Technical SCRUM Master		['technical']	yes
103	Home24	81986	5	['java', 'go', 'scala', 'python', 'c++']	Berlin, Deutschland	no	no	Senior Software Engineer - Recommendation	f/m	['engineer', 'senior', 'software']	yes
104	Share_Interactive	88202	5	['javascript', 'angular', 'css', 'html', '.net']	Kirkland, WA	no	no	Senior Software Architect		['architect', 'senior', 'software']	yes
105	Novartis_Institutes_for_BioMedical_Research	82514	5	['java', 'javascript', 'ajax', 'sql', 'unix']	Cambridge, MA	yes	no	Principal Software Engineer		['engineer', 'principal', 'software']	yes
106	Intentional_Software	70004	4	['c#', 'c++', 'java', '3d']	Bellevue, WA	yes	no	Sr. Software Engineer		['engineer', 'senior', 'software']	yes
107	Home24	81985	0	[]	Berlin, Deutschland	no	no	Senior Software Engineer  Search Engine	f/m	['engineer', 'search', 'senior', 'software']	yes
108	Qubit	88164	5	['java', 'scala', 'go', 'hbase', 'bigtable']	London, UK	yes	no	Senior Backend Engineer		['back_end', 'engineer', 'senior']	yes
109	Qubit	88028	5	['javascript', 'reactjs', 'reactjs flux', 'node.js', 'backbone.js']	London, UK	no	no	Fullstack Javascript Engineer		['engineer', 'full_stack', 'javascript']	yes
110	Permission_Data	87827	5	['go', 'docker', 'aurelia', 'microservices', 'javascript']	New York, NY	no	no	Software Engineer	using Go!	['engineer', 'software']	yes
111	Automatic_Data_Processing	76233	5	['java', 'spring', 'html5', 'css3', 'sql']	Pasadena, CA	no	no	Senior Java Application Developer		['development', 'java', 'senior']	yes
112	Ecole_Polytechnique	77325	0	[]	Palaiseau, France	no	no	Analyste programmeur en technologies Big Data		['data']	yes
113	The_Hackerati	75320	5	['java', 'api', 'oop', 'python', 'flask']	New York, NY	no	no	wanted: Sr Data Engineer hacker / bandmate		['data', 'engineer', 'senior']	yes
114	The_Hackerati	75319	5	['c', 'ios', 'sdk', 'oop', 'agile']	New York, NY	no	no	wanted: Sr Android hacker / bandmate		['android', 'senior']	yes
115	The_Hackerati	75704	5	['javascript', 'jquery', 'css', 'html', 'python']	New York, NY	no	no	wanted: Sr Web Engineer hacker / bandmate		['engineer', 'senior', 'web']	yes
116	Gap_IncGapTech	82706	5	['agile', 'microstrategy', 'business intelligence', 'etl', 'hadoop streaming']	San Francisco, CA	no	no	Technical Software Manager----Big Data		['data', 'manager', 'software', 'technical']	yes
117	Autouncle	87411	5	['ruby on rails', 'postgresql', 'javascript', 'coffeescript', 'amazon web services']	Aarhus, Denmark	yes	no	World-class Full-stack Developer		['development', 'full_stack']	yes
118	Motio	85155	5	['java', 'j2ee', 'spring', 'hibernate', 'javascript']	Dallas, TX	yes	no	Java Developer		['development', 'java']	yes
119	Fascet	86080	5	['c#', 'sql', 'entity framework', 'html5', 'domain driven design']	New York, NY	yes	no	Senior Software Engineer		['engineer', 'senior', 'software']	yes
120	Ginkgo	84054	5	['c++', 'python', 'low latency', 'fix', 'linux kernel']	New York, NY	yes	no	C++ Developer	Come to Lake Tahoe!	['development']	yes
121	Klick_Health	86039	6	['asp.net', 'php', 'sql', 'ruby on rails', 'c#', 'sysadmin']	Toronto, ON, Canada	no	no	Application Developer	CRM	['development']	yes
122	Novetta	85931	5	['bootstrap', 'java', 'javascript', 'html5', 'jquery']	Springfield, VA	no	no	Front End Developer		['development', 'front_end']	yes
123	Novetta	86320	5	['restful architecture', 'javascript', 'angularjs', 'jquery', 'java']	Springfield, VA	no	no	Full Stack Developer		['development', 'full_stack']	yes
124	zanox	87020	5	['java', 'php', 'agile', 'machine', 'data mining']	Berlin, Germany	no	no	Software Engineer / Fraud Detection	f/m	['engineer', 'software']	yes
125	Cancer_IQ	86131	4	['ruby on rails', 'angularjs', 'postgressql', 'ruby']	Chicago, IL	no	no	Senior Ruby Engineer: Use Analytics to Fight Cancer		['analytics', 'engineer', 'ruby', 'senior']	yes
126	HERE	82697	5	['java', 'c++', 'amazon web services', 'geolocation', 'mobile']	Berlin, Germany	yes	no	Principal Software Architect	Location Platform	['architect', 'principal', 'software']	yes
127	DomainTools	32868	5	['python', 'hadoop', 'mysql', 'bigdata', 'nosql']	Seattle, WA	no	no	Python Engineer	Big Data, Machine Learning, Cybersecurity	['data', 'engineer', 'machine_learning', 'python']	yes
128	CeleraOne	31780	5	['c++11', 'zeromq', 'tbb', 'boost', 'c++']	Berlin, Germany	no	no	Backend Developer C++	m/w	['back_end', 'development']	yes
129	Hazelcast	83447	5	['spring', 'hibernate', 'scalability', 'java ee', 'performance']	stanbul, Turkey	no	no	Solution Architect	Inside Position	['architect']	yes
130	Threadless	86026	5	['python', 'php', 'django', 'flask', 'mysql']	Chicago, IL	no	no	Senior Software Engineer	Python, PHP	['engineer', 'php', 'python', 'senior', 'software']	yes
131	Jetshop	86887	5	['c#', 'e commerce', 'architecture', 'development', 'agile']	Gteborg, Sverige	no	no	Senior Software Developer	e-commerce	['development', 'senior', 'software']	yes
132	OpenSignal	86040	5	['android', 'java', 'python', 'git', 'gradle']	London, UK	yes	no	Android Dev	Make the most of mobile sensors!	['android', 'development', 'sensors']	yes
133	Alfresco_Software	80390	4	['java', 'oop', 'ooad', 'automated tests']	Maidenhead, UK	no	no	Senior Java Software Engineer	Test	['engineer', 'java', 'senior', 'software', 'test']	yes
